Date,Bitcoin Low,Etheremum Low,Dogecoin Low,Cardano Low
2018-05-31,7407.33984375,567.6649780273438,0.0033360000234097242,0.2169550061225891
2018-06-01,7497.259765625,577.322021484375,0.0034000000450760126,0.21924200654029846
2018-06-02,7613.0400390625,591.2589721679688,0.003544999985024333,0.2251179963350296
2018-06-03,7474.0400390625,583.7470092773438,0.0035119999665766954,0.21229000389575958
2018-06-04,7397.0,580.9819946289062,0.003513999981805682,0.20481500029563904
2018-06-05,7502.009765625,596.39599609375,0.0035729999653995037,0.21070800721645355
2018-06-06,7650.81982421875,601.6929931640625,0.0037070000544190407,0.20957300066947937
2018-06-07,7558.39990234375,595.593017578125,0.0036329999566078186,0.20263400673866272
2018-06-08,7531.97998046875,597.56201171875,0.0035929998848587275,0.20209099352359772
2018-06-09,6709.06982421875,511.8890075683594,0.0031510000117123127,0.1711290031671524
2018-06-10,6706.6298828125,515.2689819335938,0.003102000104263425,0.16789300739765167
2018-06-11,6542.080078125,491.2349853515625,0.003074999898672104,0.1627880036830902
2018-06-12,6285.6298828125,459.0039978027344,0.0027779999654740095,0.15120400488376617
2018-06-13,6334.4599609375,467.46600341796875,0.002810999983921647,0.15536899864673615
2018-06-14,6433.8701171875,487.468994140625,0.002836999949067831,0.16192899644374847
2018-06-15,6402.2900390625,488.85101318359375,0.002828999888151884,0.15985600650310516
2018-06-16,6499.27001953125,498.64801025390625,0.0028729999903589487,0.1610269993543625
2018-06-17,6446.68017578125,494.0660095214844,0.002830999903380871,0.1567080020904541
2018-06-18,6709.919921875,516.31201171875,0.0029559999238699675,0.16211700439453125
2018-06-19,6611.8798828125,519.3690185546875,0.0029440000653266907,0.15679700672626495
2018-06-20,6715.169921875,524.2589721679688,0.002968000015243888,0.15755100548267365
2018-06-21,6006.60009765625,456.87701416015625,0.0026000000070780516,0.13742899894714355
2018-06-22,6071.81005859375,462.39300537109375,0.002584999892860651,0.13485200703144073
2018-06-23,5826.41015625,426.468994140625,0.002331000054255128,0.12196200340986252
2018-06-24,6119.68017578125,448.89599609375,0.002392000053077936,0.1285559982061386
2018-06-25,6093.669921875,432.7720031738281,0.002457000082358718,0.12609900534152985
2018-06-26,6052.85009765625,424.8389892578125,0.0023350000847131014,0.12392500042915344
2018-06-27,5873.0498046875,419.6830139160156,0.0023330000694841146,0.11849799752235413
2018-06-28,5835.75,407.9469909667969,0.0022929999977350235,0.11467400193214417
2018-06-29,6214.22021484375,436.2090148925781,0.0024210000410676003,0.12603600323200226
2018-06-30,6289.2900390625,446.385009765625,0.0024560000747442245,0.13386599719524384
2018-07-01,6305.7001953125,447.1109924316406,0.002429000101983547,0.13863900303840637
2018-07-02,6447.75,462.5820007324219,0.0026179999113082886,0.14946100115776062
2018-07-03,6450.4599609375,455.18499755859375,0.0025869999080896378,0.14688299596309662
2018-07-04,6546.64990234375,464.6289978027344,0.002578000072389841,0.14510400593280792
2018-07-05,6533.5498046875,457.614990234375,0.0025510000996291637,0.13947300612926483
2018-07-06,6579.240234375,466.83599853515625,0.0025470000691711903,0.13890400528907776
2018-07-07,6747.97998046875,488.4169921875,0.0025730000343173742,0.14476199448108673
2018-07-08,6724.33984375,475.17498779296875,0.0025949999690055847,0.13994799554347992
2018-07-09,6320.72021484375,433.9599914550781,0.002242000075057149,0.12879200279712677
2018-07-10,6330.47021484375,429.5069885253906,0.0023529999889433384,0.12646600604057312
2018-07-11,6136.419921875,422.80999755859375,0.0022440000902861357,0.12315399944782257
2018-07-12,6192.240234375,430.7409973144531,0.0022070000413805246,0.12602700293064117
2018-07-13,6212.22021484375,431.4739990234375,0.0021869998890906572,0.13385100662708282
2018-07-14,6256.509765625,433.9209899902344,0.002319999970495701,0.13527700304985046
2018-07-15,6357.009765625,446.7980041503906,0.002366000087931752,0.14097799360752106
2018-07-16,6684.169921875,468.9150085449219,0.0028009999077767134,0.1503790020942688
2018-07-17,7280.47021484375,474.3590087890625,0.003189000068232417,0.1702989935874939
2018-07-18,7295.4599609375,465.1419982910156,0.0034809999633580446,0.17231200635433197
2018-07-19,7323.259765625,443.6929931640625,0.0032939999364316463,0.16164399683475494
2018-07-20,7262.41015625,445.7760009765625,0.003217000048607588,0.1557289958000183
2018-07-21,7383.81982421875,458.1189880371094,0.003278000047430396,0.1630609929561615
2018-07-22,7409.10009765625,449.7279968261719,0.003418999956920743,0.16402800381183624
2018-07-23,7705.5,450.56500244140625,0.003389999968931079,0.16127899289131165
2018-07-24,8086.35986328125,466.4739990234375,0.0033130000811070204,0.1668200045824051
2018-07-25,7878.7099609375,461.42401123046875,0.0033539999276399612,0.16249699890613556
2018-07-26,7839.759765625,458.2909851074219,0.0032840000931173563,0.15666000545024872
2018-07-27,8110.77001953125,462.989013671875,0.0033889999613165855,0.1600240021944046
2018-07-28,8141.18017578125,462.7120056152344,0.003286000108346343,0.16041900217533112
2018-07-29,7917.5,448.6409912109375,0.003031000029295683,0.14927999675273895
2018-07-30,7696.93017578125,430.4440002441406,0.0028570001013576984,0.1407729983329773
2018-07-31,7504.9501953125,410.4639892578125,0.0028280001133680344,0.13718000054359436
2018-08-01,7523.43994140625,410.3089904785156,0.0029269999358803034,0.13046899437904358
2018-08-02,7328.64990234375,399.9100036621094,0.0028460000175982714,0.12454500049352646
2018-08-03,6984.06982421875,403.7760009765625,0.002736999886110425,0.1254120022058487
2018-08-04,6940.7001953125,402.4320068359375,0.002733000088483095,0.12551699578762054
2018-08-05,6890.5400390625,403.31500244140625,0.002739999908953905,0.1281609982252121
2018-08-06,6748.240234375,376.0769958496094,0.0026599999982863665,0.12460099905729294
2018-08-07,6226.22021484375,353.7340087890625,0.0023960000835359097,0.112636998295784
2018-08-08,6249.06982421875,353.614013671875,0.002380999969318509,0.11450699716806412
2018-08-09,6124.52001953125,329.58599853515625,0.002365000080317259,0.1137470006942749
2018-08-10,6109.02978515625,308.4880065917969,0.0023449999280273914,0.10919500142335892
2018-08-11,6237.5,318.60198974609375,0.002360000042244792,0.1116579994559288
2018-08-12,6225.72021484375,284.9339904785156,0.0022849999368190765,0.10269799828529358
2018-08-13,5971.0498046875,254.64999389648438,0.0021430000197142363,0.08695100247859955
2018-08-14,6221.419921875,280.1189880371094,0.0022479998879134655,0.09466499835252762
2018-08-15,6276.41015625,280.9280090332031,0.0022269999608397484,0.09319800138473511
2018-08-16,6324.97021484375,287.34600830078125,0.0022849999368190765,0.09517200291156769
2018-08-17,6353.72998046875,286.5509948730469,0.002368000103160739,0.0974849984049797
2018-08-18,6361.5498046875,291.3320007324219,0.002366000087931752,0.09811999648809433
2018-08-19,6297.93017578125,273.510986328125,0.002360000042244792,0.0936179980635643
2018-08-20,6298.240234375,273.33099365234375,0.0023620000574737787,0.09191899746656418
2018-08-21,6310.10986328125,264.99798583984375,0.002311999909579754,0.08808799833059311
2018-08-22,6371.33984375,271.0899963378906,0.0023129999171942472,0.08916500210762024
2018-08-23,6498.64013671875,273.8599853515625,0.0023539999965578318,0.09094800055027008
2018-08-24,6700.9599609375,278.47100830078125,0.002355000004172325,0.09234999865293503
2018-08-25,6620.75,272.4440002441406,0.0022879999596625566,0.0914049968123436
2018-08-26,6689.7099609375,273.6499938964844,0.0023870000150054693,0.09252200275659561
